cohort_month,total_users,month_number,percentage
2017-09-01,3446,0,7.254788160185723
2017-09-01,3446,1,7.109692396982008
2017-09-01,3446,2,6.558328496807893
2017-09-01,3446,3,7.196749854904237
2017-09-01,3446,4,5.91990713871155
2017-09-01,3446,5,7.196749854904237
2017-09-01,3446,6,6.32617527568195
2017-09-01,3446,7,5.5426581543818925
2017-09-01,3446,8,5.948926291352293
2017-09-01,3446,9,5.861868833430064
2017-09-01,3446,10,5.368543238537435
2017-09-01,3446,11,4.585026117237376
2017-09-01,3446,12,4.585026117237376
2017-09-01,3446,13,4.788160185722577
2017-09-01,3446,14,4.875217643644805
2017-09-01,3446,15,5.02031340684852
2017-09-01,3446,16,3.8595473012188046
2017-09-01,3446,17,4.004643064422519
2017-09-01,3446,18,3.685432385374347
2017-09-01,3446,19,3.685432385374347
2017-09-01,3446,20,3.8305281485780616
2017-09-01,3446,21,3.424260011607661
2017-09-01,3446,22,3.5403366221706327
2017-09-01,3446,23,3.0470110272780033
2017-09-01,3446,24,3.3081834010446896
2017-09-01,3446,25,2.8728961114335463
2017-09-01,3446,26,2.640742890307603
2017-10-01,239,0,16.317991631799163
2017-10-01,239,1,10.0418410041841
2017-10-01,239,2,7.531380753138075
2017-10-01,239,3,5.02092050209205
2017-10-01,239,4,6.2761506276150625
2017-10-01,239,5,6.2761506276150625
2017-10-01,239,6,5.857740585774058
2017-10-01,239,7,6.2761506276150625
2017-10-01,239,8,5.439330543933054
2017-10-01,239,9,5.02092050209205
2017-10-01,239,10,6.2761506276150625
2017-10-01,239,11,6.694560669456067
2017-10-01,239,12,5.439330543933054
2017-10-01,239,13,5.857740585774058
2017-10-01,239,14,7.531380753138075
2017-10-01,239,15,5.02092050209205
2017-10-01,239,16,5.857740585774058
2017-10-01,239,17,6.2761506276150625
2017-10-01,239,18,5.439330543933054
2017-10-01,239,19,4.602510460251046
2017-10-01,239,20,4.602510460251046
2017-10-01,239,21,5.439330543933054
2017-10-01,239,22,4.602510460251046
2017-10-01,239,23,3.3472803347280333
2017-10-01,239,24,2.928870292887029
2017-10-01,239,25,3.7656903765690375
2017-11-01,239,0,20.502092050209207
2017-11-01,239,1,10.0418410041841
2017-11-01,239,2,5.857740585774058
2017-11-01,239,3,6.694560669456067
2017-11-01,239,4,7.531380753138075
2017-11-01,239,5,3.7656903765690375
2017-11-01,239,6,4.184100418410042
2017-11-01,239,7,3.3472803347280333
2017-11-01,239,8,2.092050209205021
2017-11-01,239,9,4.602510460251046
2017-11-01,239,10,3.7656903765690375
2017-11-01,239,11,3.7656903765690375
2017-11-01,239,12,2.928870292887029
2017-11-01,239,13,5.02092050209205
2017-11-01,239,14,2.092050209205021
2017-11-01,239,15,3.3472803347280333
2017-11-01,239,16,3.3472803347280333
2017-11-01,239,17,2.092050209205021
2017-11-01,239,18,1.6736401673640167
2017-11-01,239,19,2.510460251046025
2017-11-01,239,20,3.3472803347280333
2017-11-01,239,21,1.6736401673640167
2017-11-01,239,22,1.2552301255230125
2017-11-01,239,23,1.2552301255230125
2017-11-01,239,24,1.2552301255230125
2017-12-01,564,0,33.51063829787234
2017-12-01,564,1,8.51063829787234
2017-12-01,564,2,9.21985815602837
2017-12-01,564,3,7.446808510638298
2017-12-01,564,4,7.446808510638298
2017-12-01,564,5,8.687943262411348
2017-12-01,564,6,9.042553191489361
2017-12-01,564,7,7.092198581560283
2017-12-01,564,8,5.673758865248227
2017-12-01,564,9,5.319148936170213
2017-12-01,564,10,6.028368794326241
2017-12-01,564,11,6.560283687943262
2017-12-01,564,12,6.560283687943262
2017-12-01,564,13,4.25531914893617
2017-12-01,564,14,4.787234042553192
2017-12-01,564,15,5.141843971631205
2017-12-01,564,16,5.319148936170213
2017-12-01,564,17,4.609929078014185
2017-12-01,564,18,4.432624113475177
2017-12-01,564,19,4.609929078014185
2017-12-01,564,20,3.900709219858156
2017-12-01,564,21,3.900709219858156
2017-12-01,564,22,3.900709219858156
2017-12-01,564,23,2.8368794326241136
2018-01-01,450,0,22.666666666666668
2018-01-01,450,1,17.333333333333332
2018-01-01,450,2,10.666666666666666
2018-01-01,450,3,8.222222222222221
2018-01-01,450,4,7.777777777777778
2018-01-01,450,5,8.444444444444445
2018-01-01,450,6,6.444444444444445
2018-01-01,450,7,5.111111111111111
2018-01-01,450,8,5.333333333333333
2018-01-01,450,9,5.555555555555555
2018-01-01,450,10,5.555555555555555
2018-01-01,450,11,5.111111111111111
2018-01-01,450,12,4.666666666666667
2018-01-01,450,13,5.555555555555555
2018-01-01,450,14,4.888888888888889
2018-01-01,450,15,3.111111111111111
2018-01-01,450,16,3.7777777777777777
2018-01-01,450,17,4.0
2018-01-01,450,18,4.0
2018-01-01,450,19,3.111111111111111
2018-01-01,450,20,3.5555555555555554
2018-01-01,450,21,2.4444444444444446
2018-01-01,450,22,2.0
2018-02-01,1010,0,36.53465346534654
2018-02-01,1010,1,16.534653465346533
2018-02-01,1010,2,15.346534653465346
2018-02-01,1010,3,14.455445544554456
2018-02-01,1010,4,13.366336633663366
2018-02-01,1010,5,12.475247524752476
2018-02-01,1010,6,10.792079207920793
2018-02-01,1010,7,9.900990099009901
2018-02-01,1010,8,10.0
2018-02-01,1010,9,10.594059405940595
2018-02-01,1010,10,10.693069306930694
2018-02-01,1010,11,8.910891089108912
2018-02-01,1010,12,8.811881188118813
2018-02-01,1010,13,9.504950495049505
2018-02-01,1010,14,8.514851485148515
2018-02-01,1010,15,9.009900990099009
2018-02-01,1010,16,8.415841584158416
2018-02-01,1010,17,8.712871287128714
2018-02-01,1010,18,8.514851485148515
2018-02-01,1010,19,6.930693069306931
2018-02-01,1010,20,6.930693069306931
2018-02-01,1010,21,6.534653465346534
2018-03-01,870,0,30.57471264367816
2018-03-01,870,1,12.298850574712644
2018-03-01,870,2,11.839080459770114
2018-03-01,870,3,11.839080459770114
2018-03-01,870,4,9.310344827586206
2018-03-01,870,5,9.770114942528735
2018-03-01,870,6,9.195402298850574
2018-03-01,870,7,8.735632183908047
2018-03-01,870,8,8.045977011494253
2018-03-01,870,9,9.080459770114942
2018-03-01,870,10,6.206896551724138
2018-03-01,870,11,6.206896551724138
2018-03-01,870,12,6.436781609195402
2018-03-01,870,13,6.206896551724138
2018-03-01,870,14,5.172413793103448
2018-03-01,870,15,4.367816091954023
2018-03-01,870,16,4.827586206896552
2018-03-01,870,17,4.367816091954023
2018-03-01,870,18,3.5632183908045976
2018-03-01,870,19,3.9080459770114944
2018-03-01,870,20,3.218390804597701
2018-04-01,849,0,31.566548881036514
2018-04-01,849,1,14.487632508833922
2018-04-01,849,2,12.36749116607774
2018-04-01,849,3,10.247349823321555
2018-04-01,849,4,8.598351001177857
2018-04-01,849,5,8.244994110718492
2018-04-01,849,6,8.362779740871614
2018-04-01,849,7,8.95170789163722
2018-04-01,849,8,8.716136631330977
2018-04-01,849,9,6.713780918727915
2018-04-01,849,10,6.831566548881036
2018-04-01,849,11,6.831566548881036
2018-04-01,849,12,6.831566548881036
2018-04-01,849,13,6.007067137809187
2018-04-01,849,14,5.535924617196702
2018-04-01,849,15,5.30035335689046
2018-04-01,849,16,4.7114252061248525
2018-04-01,849,17,4.593639575971731
2018-04-01,849,18,6.007067137809187
2018-04-01,849,19,4.593639575971731
2018-05-01,1100,0,26.181818181818183
2018-05-01,1100,1,13.181818181818182
2018-05-01,1100,2,8.636363636363637
2018-05-01,1100,3,7.909090909090909
2018-05-01,1100,4,7.090909090909091
2018-05-01,1100,5,7.090909090909091
2018-05-01,1100,6,6.454545454545454
2018-05-01,1100,7,7.2727272727272725
2018-05-01,1100,8,4.454545454545454
2018-05-01,1100,9,5.090909090909091
2018-05-01,1100,10,5.454545454545454
2018-05-01,1100,11,5.090909090909091
2018-05-01,1100,12,4.363636363636363
2018-05-01,1100,13,4.545454545454546
2018-05-01,1100,14,4.2727272727272725
2018-05-01,1100,15,3.6363636363636362
2018-05-01,1100,16,3.909090909090909
2018-05-01,1100,17,3.727272727272727
2018-05-01,1100,18,3.090909090909091
2018-06-01,1064,0,31.860902255639097
2018-06-01,1064,1,10.338345864661655
2018-06-01,1064,2,8.928571428571429
2018-06-01,1064,3,8.364661654135338
2018-06-01,1064,4,7.706766917293233
2018-06-01,1064,5,7.612781954887218
2018-06-01,1064,6,6.954887218045113
2018-06-01,1064,7,6.578947368421052
2018-06-01,1064,8,6.015037593984962
2018-06-01,1064,9,6.860902255639098
2018-06-01,1064,10,5.545112781954887
2018-06-01,1064,11,5.2631578947368425
2018-06-01,1064,12,4.981203007518797
2018-06-01,1064,13,4.793233082706767
2018-06-01,1064,14,4.793233082706767
2018-06-01,1064,15,4.417293233082707
2018-06-01,1064,16,3.9473684210526314
2018-06-01,1064,17,2.819548872180451
2018-07-01,1050,0,25.428571428571427
2018-07-01,1050,1,8.0
2018-07-01,1050,2,6.571428571428571
2018-07-01,1050,3,6.0
2018-07-01,1050,4,6.476190476190476
2018-07-01,1050,5,6.190476190476191
2018-07-01,1050,6,4.190476190476191
2018-07-01,1050,7,4.571428571428571
2018-07-01,1050,8,3.238095238095238
2018-07-01,1050,9,3.9047619047619047
2018-07-01,1050,10,4.0
2018-07-01,1050,11,3.8095238095238093
2018-07-01,1050,12,3.4285714285714284
2018-07-01,1050,13,3.238095238095238
2018-07-01,1050,14,2.1904761904761907
2018-07-01,1050,15,2.9523809523809526
2018-07-01,1050,16,1.7142857142857142
2018-08-01,1141,0,23.57581069237511
2018-08-01,1141,1,10.429447852760736
2018-08-01,1141,2,8.238387379491673
2018-08-01,1141,3,7.361963190184049
2018-08-01,1141,4,7.800175284837861
2018-08-01,1141,5,6.660823838737949
2018-08-01,1141,6,5.346187554776511
2018-08-01,1141,7,4.382120946538125
2018-08-01,1141,8,4.294478527607362
2018-08-01,1141,9,3.943908851884312
2018-08-01,1141,10,4.645048203330412
2018-08-01,1141,11,4.031551270815075
2018-08-01,1141,12,3.242769500438212
2018-08-01,1141,13,3.1551270815074495
2018-08-01,1141,14,3.1551270815074495
2018-08-01,1141,15,2.541630148992112
2018-09-01,1123,0,21.01513802315227
2018-09-01,1123,1,8.103294746215495
2018-09-01,1123,2,7.212822796081923
2018-09-01,1123,3,6.41139804096171
2018-09-01,1123,4,5.253784505788068
2018-09-01,1123,5,4.986642920747997
2018-09-01,1123,6,5.1647373107747105
2018-09-01,1123,7,4.096170970614426
2018-09-01,1123,8,4.541406945681211
2018-09-01,1123,9,3.6509349955476402
2018-09-01,1123,10,3.205699020480855
2018-09-01,1123,11,3.116651825467498
2018-09-01,1123,12,2.5823686553873553
2018-09-01,1123,13,3.383793410507569
2018-09-01,1123,14,2.226179875333927
2018-10-01,1136,0,22.447183098591548
2018-10-01,1136,1,10.73943661971831
2018-10-01,1136,2,6.954225352112676
2018-10-01,1136,3,5.28169014084507
2018-10-01,1136,4,5.28169014084507
2018-10-01,1136,5,4.929577464788732
2018-10-01,1136,6,4.313380281690141
2018-10-01,1136,7,4.313380281690141
2018-10-01,1136,8,3.961267605633803
2018-10-01,1136,9,4.401408450704225
2018-10-01,1136,10,3.609154929577465
2018-10-01,1136,11,3.785211267605634
2018-10-01,1136,12,3.8732394366197185
2018-10-01,1136,13,2.816901408450704
2018-11-01,1208,0,22.350993377483444
2018-11-01,1208,1,9.7682119205298
2018-11-01,1208,2,6.043046357615894
2018-11-01,1208,3,5.629139072847682
2018-11-01,1208,4,4.801324503311259
2018-11-01,1208,5,5.380794701986755
2018-11-01,1208,6,4.387417218543046
2018-11-01,1208,7,4.304635761589404
2018-11-01,1208,8,4.2218543046357615
2018-11-01,1208,9,3.9735099337748343
2018-11-01,1208,10,2.814569536423841
2018-11-01,1208,11,3.80794701986755
2018-11-01,1208,12,2.4834437086092715
2018-12-01,1374,0,25.61863173216885
2018-12-01,1374,1,6.477438136826783
2018-12-01,1374,2,6.11353711790393
2018-12-01,1374,3,4.9490538573508
2018-12-01,1374,4,4.075691411935954
2018-12-01,1374,5,3.930131004366812
2018-12-01,1374,6,4.366812227074236
2018-12-01,1374,7,3.056768558951965
2018-12-01,1374,8,3.420669577874818
2018-12-01,1374,9,3.566229985443959
2018-12-01,1374,10,2.7656477438136826
2018-12-01,1374,11,2.183406113537118
2019-01-01,1093,0,22.04940530649588
2019-01-01,1093,1,8.417200365965233
2019-01-01,1093,2,5.215004574565416
2019-01-01,1093,3,5.580969807868253
2019-01-01,1093,4,5.397987191216834
2019-01-01,1093,5,5.3064958828911255
2019-01-01,1093,6,4.574565416285453
2019-01-01,1093,7,3.476669716376944
2019-01-01,1093,8,3.659652333028362
2019-01-01,1093,9,3.202195791399817
2019-01-01,1093,10,2.8362305580969807
2019-02-01,1048,0,24.61832061068702
2019-02-01,1048,1,8.683206106870228
2019-02-01,1048,2,7.442748091603053
2019-02-01,1048,3,6.488549618320611
2019-02-01,1048,4,5.916030534351145
2019-02-01,1048,5,5.916030534351145
2019-02-01,1048,6,4.484732824427481
2019-02-01,1048,7,4.00763358778626
2019-02-01,1048,8,3.816793893129771
2019-02-01,1048,9,2.6717557251908395
2019-03-01,1100,0,21.545454545454547
2019-03-01,1100,1,8.363636363636363
2019-03-01,1100,2,6.454545454545454
2019-03-01,1100,3,7.0
2019-03-01,1100,4,4.7272727272727275
2019-03-01,1100,5,4.818181818181818
2019-03-01,1100,6,4.090909090909091
2019-03-01,1100,7,4.090909090909091
2019-03-01,1100,8,2.727272727272727
2019-04-01,1037,0,22.372227579556412
2019-04-01,1037,1,6.750241080038573
2019-04-01,1037,2,5.400192864030858
2019-04-01,1037,3,3.8572806171648986
2019-04-01,1037,4,3.5679845708775315
2019-04-01,1037,5,3.085824493731919
2019-04-01,1037,6,3.471552555448409
2019-04-01,1037,7,2.314368370298939
2019-05-01,1001,0,21.47852147852148
2019-05-01,1001,1,7.192807192807193
2019-05-01,1001,2,6.293706293706293
2019-05-01,1001,3,4.695304695304696
2019-05-01,1001,4,4.195804195804196
2019-05-01,1001,5,3.6963036963036964
2019-05-01,1001,6,2.997002997002997
2019-06-01,886,0,20.993227990970656
2019-06-01,886,1,6.207674943566591
2019-06-01,886,2,5.07900677200903
2019-06-01,886,3,4.288939051918736
2019-06-01,886,4,3.724604966139955
2019-06-01,886,5,2.4830699774266365
2019-07-01,802,0,19.07730673316708
2019-07-01,802,1,7.4812967581047385
2019-07-01,802,2,4.987531172069826
2019-07-01,802,3,4.738154613466334
2019-07-01,802,4,2.6184538653366585
2019-08-01,730,0,20.273972602739725
2019-08-01,730,1,7.671232876712328
2019-08-01,730,2,4.931506849315069
2019-08-01,730,3,2.8767123287671232
2019-09-01,762,0,16.141732283464567
2019-09-01,762,1,6.955380577427822
2019-09-01,762,2,3.0183727034120733
2019-10-01,717,0,17.99163179916318
2019-10-01,717,1,4.602510460251046
2019-11-01,292,0,11.643835616438356
